id,title,authors,year,venue,database,search_string,doi,url,source,type,openalex_id
GS019,An Empirical Evaluation of Using Large Language Models for Automated Unit Test Generation,"M Schäfer, S Nadi, A Eghbali…",2023,IEEE Transactions on …,Google Scholar,String A,10.1109/tse.2023.3334955,https://ieeexplore.ieee.org/abstract/document/10329992/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4389104713
GS020,Exploiting Test Structure to Enhance Language Models for Software Testing,K Jain,2025,,Google Scholar,String A,,http://reports-archive.adm.cs.cmu.edu/anon/anon/home/ftp/usr0/ftp/s3d2025/CMU-S3D-25-100.pdf,reports-archive.adm.cs.cmu.edu,PDF,
GS021,A Comparative Evaluation of Search-Based and Mutation-Driven LLM Test Generation : Pynguin and MuTAP,R Tabassum,2026,Doria (University of Helsinki),Google Scholar,String A,,https://www.doria.fi/handle/10024/194889,doria.fi,ARTICLE,https://openalex.org/W7162730844
GS022,Evaluating LLM-Generated Unit Tests with Mutation Testing: ChatGPT vs DeepSeek,"PFM Cabral, JPS Arruda, CRB de Souza…",2025,Simpósio Brasileiro de …,Google Scholar,String A,10.5753/sbqs.2025.13792,https://sol.sbc.org.br/index.php/sbqs/article/view/39001,sol.sbc.org.br,ARTICLE,https://openalex.org/W4417036936
GS023,Automated test case generation using transformers and domain adaptation,SP Hashtroudi,2023,,Google Scholar,String A,,https://ucalgary.scholaris.ca/items/bb27e423-2b1a-41df-9f15-5fbaeae160d5,ucalgary.scholaris.ca,ARTICLE,
GS024,Automatic Unit Test Generation for Programming Assignments Using Large Language Models,"K Zheng, Y Shen, Y Tao",2025,2025 IEEE/ACM 37th International …,Google Scholar,String A,10.1109/cseet66350.2025.00031,https://ieeexplore.ieee.org/abstract/document/11024401/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4411233861
GS025,A Python Unit Test Generation Method Based on Fine-Tuned Language Models and Coverage,"J Long, R Qin, Z Jiang, J Duan, S Li…",2025,2025 18th International …,Google Scholar,String A,10.1109/cisp-bmei68103.2025.11259411,https://ieeexplore.ieee.org/abstract/document/11259411/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4416963150
GS026,Exploring ChatGPT Efficiency in Automatic Test Generation for Python: A Comparative Analysis,"LR Guerino, AMR Vincenzi",2025,Simpósio Brasileiro de Qualidade de …,Google Scholar,String A,10.5753/sbqs.2025.14558,https://sol.sbc.org.br/index.php/sbqs/article/view/38998,sol.sbc.org.br,ARTICLE,https://openalex.org/W4417036944
GS027,Evaluating the Test Adequacy of Benchmarks for LLMs on Code Generation,"X Liu, X Sun, L Bo, Y Hu, X Liu…",2025,Journal of Software …,Google Scholar,String A,10.1002/smr.70034,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.70034,Wiley Online Library,ARTICLE,https://openalex.org/W4411633308
GS028,ChatGPT vs SBST: A Comparative Assessment of Unit Test Suite Generation,"Y Tang, Z Liu, Z Zhou, X Luo",2024,IEEE Transactions on Software …,Google Scholar,String A,10.1109/tse.2024.3382365,https://ieeexplore.ieee.org/abstract/document/10485640/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4393305539
GS029,Java unit testing with ai: An ai-driven prototype for unit test generation,"K Kahur, J Su",2023,,Google Scholar,String A,,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1778114,diva-portal.org,ARTICLE,
GS030,On the Evaluation of Test Suites Generated by Large Language Models,"M Cuze, F Wotawa",2025,IFIP International Conference on Testing Software …,Google Scholar,String A,10.1007/978-3-032-05188-2_16,https://link.springer.com/chapter/10.1007/978-3-032-05188-2_16,Springer,ARTICLE,https://openalex.org/W4414193595
GS031,CodeAssert: Multi-Provider LLM Evaluation for Automated Unit Test Generation,JADEO GONÇALVES,2025,"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)",Google Scholar,String A,,https://recipp.ipp.pt/entities/publication/781bf760-b7a2-40e3-bead-046367e036c5,recipp.ipp.pt,ARTICLE,https://openalex.org/W7117346372
GS032,An empirical study of using large language models for unit test generation,"ML Siddiqa, JC Santos, RH Tanvirb, N Ulfatc…",2023,arXiv preprint arXiv …,Google Scholar,String A,,https://www.academia.edu/download/108971486/2305.00418.pdf,academia.edu,PDF,
GS033,TestGenEval: A Real World Unit Test Generation and Test Completion Benchmark,"K Jain, G Synnaeve, B Rozière",2025,International Conference on …,Google Scholar,String A,10.48550/arxiv.2410.00752,https://proceedings.iclr.cc/paper_files/paper/2025/hash/26ded5c8ee8ec1bc4caced4e1c9b1584-Abstract-Conference.html,proceedings.iclr.cc,ARTICLE,https://openalex.org/W4403821382
GS034,No More Manual Tests? Evaluating and Improving ChatGPT for Unit Test Generation,"Z Yuan, Y Lou, M Liu, S Ding, K Wang, Y Chen…",2023,arXiv preprint arXiv …,Google Scholar,String A,10.48550/arxiv.2305.04207,https://arxiv.org/abs/2305.04207,arxiv.org,ARTICLE,https://openalex.org/W4376122390
GS035,TestLoter: A logic-driven framework for automated unit test generation and error repair using large language models,"R Yang, X Xu, R Wang",2025,Journal of Computer Languages,Google Scholar,String A,10.1016/j.cola.2025.101348,https://www.sciencedirect.com/science/article/pii/S2590118425000346,Elsevier,ARTICLE,https://openalex.org/W4412602987
GS036,"Test Wars: A Comparative Study of SBST, Symbolic Execution, and LLM-Based Approaches to Unit Test Generation","A Abdullin, P Derakhshanfar…",2025,2025 IEEE Conference …,Google Scholar,String A,10.1109/icst62969.2025.10989033,https://ieeexplore.ieee.org/abstract/document/10989033/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4410538575
GS037,Test vs Mutant: Adversarial LLM Agents for Robust Unit Test Generation,"P Chang, Y Fang, S Chen, Y Shi, B Shen…",2026,arXiv preprint arXiv …,Google Scholar,String A,,https://arxiv.org/abs/2602.08146,arxiv.org,ARTICLE,https://openalex.org/W7128648060
GS038,From Scenario to Code: Structured Prompting for LLM-Based Unit Test Generation,"A Diop, F Toure, M Badri",2025,Proceedings of the 2025 7th World …,Google Scholar,String A,10.1145/3779657.3779658,https://dl.acm.org/doi/abs/10.1145/3779657.3779658,dl.acm.org,ARTICLE,https://openalex.org/W7153576139
GS039,Leveraging Large Language Models for Enhancing the Understandability of Generated Unit Tests,"A Deljouyi, R Koohestani, M Izadi…",2025,2025 IEEE/ACM 47th …,Google Scholar,String A,10.1109/icse55347.2025.00032,https://ieeexplore.ieee.org/abstract/document/11029767/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4411552295
GS040,LLM-enhanced evolutionary test generation for untyped languages,"R Yang, X Xu, R Wang",2025,Automated Software Engineering,Google Scholar,String A,10.1007/s10515-025-00496-7,https://link.springer.com/article/10.1007/s10515-025-00496-7,Springer,ARTICLE,https://openalex.org/W4407667911
GS041,LLMs as Test Generators: A Comparative Benchmarking Study,"ECO Silva, R de Souza Coelho…",2025,Simpósio Brasileiro de …,Google Scholar,String A,10.5753/sbes.2025.9618,https://sol.sbc.org.br/index.php/sbes/article/view/36983,sol.sbc.org.br,ARTICLE,https://openalex.org/W4414995150
GS042,AI-Assisted Unit Testing: Empirical Insights into GitHub Copilot Chat's Effectiveness and Collaborative Benefits,E Sundqvist,2024,,Google Scholar,String A,,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1866649,diva-portal.org,ARTICLE,
GS043,Towards Automated Software Testing - Applying TextGrad to Test Suite Generation using LLMs,M Gärtner,2025,sosy-lab.org,Google Scholar,String A,10.5281/zenodo.18394393,https://www.sosy-lab.org/research/msc/2025.Gaertner.Towards_Automated_Software_Testing.pdf,,PDF,https://openalex.org/W7125805399
GS044,GEM: A Framework for Strengthening LLM-Generated Unit Tests Using Mutation Feedback,"A Celik, QH Mahmoud",2026,… Ibero-Americano em Engenharia de Software …,Google Scholar,String A,10.5753/cibse.2026.42441,https://sol.sbc.org.br/index.php/cibse/article/view/42441,sol.sbc.org.br,ARTICLE,https://openalex.org/W7162811052
GS045,Automated Unit Test Generation via Metaprogramming: A Deterministic Alternative to AI-Based Test Synthesis,N Bhatt,2025,"… on Information, Implementation, and Innovation in …",Google Scholar,String A,10.1109/i2itcon65200.2025.11208854,https://ieeexplore.ieee.org/abstract/document/11208854/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4415883519
GS046,AI-assisted Generation Of Human-Aligned Unit Tests,WAMC OUEDRAOGO,2026,Open Repository and Bibliography (University of Luxembourg),Google Scholar,String A,,https://orbilu.uni.lu/handle/10993/68463,orbilu.uni.lu,ARTICLE,https://openalex.org/W7162618522
GS047,"Large-scale, Independent and Comprehensive study of the power of LLMs for test case generation","WC Ouédraogo, K Kaboré, Y Li, H Tian…",2024,arXiv preprint arXiv …,Google Scholar,String A,10.48550/arxiv.2407.00225,https://arxiv.org/abs/2407.00225,arxiv.org,ARTICLE,https://openalex.org/W4400267179
GS048,An Evaluation Framework for Software Unit Tests Generated by Large Language Models,"ST Nguyen, S Bharath…",2025,2025 IEEE 36th …,Google Scholar,String A,,https://ieeexplore.ieee.org/abstract/document/11262355/,ieeexplore.ieee.org,ARTICLE,
GS049,FailMapper: Automated Generation of Unit Tests Guided by Failure Scenarios,"R Dong, Z Deng, X Zhu, X Du, H Liu…",2025,2025 40th IEEE/ACM …,Google Scholar,String A,10.1109/ase63991.2025.00197,https://ieeexplore.ieee.org/abstract/document/11334488/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W7125922978
GS050,Beyond Coverage: Automatic Test Suite Augmentation for Enhanced Effectiveness using Large Language Models,"Z Lu, P Zhang, Y Nie, Y Yang, Y Tang…",2026,Proceedings of the …,Google Scholar,String A,10.1145/3798251,https://dl.acm.org/doi/abs/10.1145/3798251,dl.acm.org,ARTICLE,https://openalex.org/W7153362316
GS051,"AI-Powered Unit Test Generation via Multi-LLM Chaining: A Case Study With GPT-4o, Gemini, and Claude-3.5","C Kumar, US Ponaka, PVLN Naidu…",2025,IEEE …,Google Scholar,String A,10.1109/access.2025.3637221,https://ieeexplore.ieee.org/abstract/document/11269709/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4416707315
GS052,Automated Unit Test Generation via Chain-of-Thought Prompt and Reinforcement Learning from Coverage Feedback,"J Zhang, X Hu, X Xia, SC Cheung, S Li",2026,ACM Transactions on Software …,Google Scholar,String A,10.1145/3745765,https://dl.acm.org/doi/abs/10.1145/3745765,dl.acm.org,ARTICLE,https://openalex.org/W7128276797
GS053,"A Cascaded Pipeline for Self-Directed, Model-Agnostic Unit Test Generation via LLMs","C Ni, X Wang, X Yin, L Chen…",2025,2025 IEEE 36th …,Google Scholar,String A,10.1109/issre66568.2025.00037,https://ieeexplore.ieee.org/abstract/document/11229491/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4416233741
GS054,Unit Test Generation using Large Language Models for Unity Game Development,"C Paduraru, A Stefanescu, A Jianu",2024,Proceedings of the 1st ACM …,Google Scholar,String A,10.1145/3663532.3664466,https://dl.acm.org/doi/abs/10.1145/3663532.3664466,dl.acm.org,ARTICLE,https://openalex.org/W4400485000
GS055,Parameter-Efficient Fine-Tuning of Large Language Models for Unit Test Generation: An Empirical Study,"A Storhaug, J Li",2024,arXiv preprint arXiv:2411.02462,Google Scholar,String A,10.48550/arxiv.2411.02462,https://arxiv.org/abs/2411.02462,arxiv.org,ARTICLE,https://openalex.org/W4404355680
GS056,TESTEVAL: Benchmarking Large Language Models for Test Case Generation,"W Wang, C Yang, Z Wang, Y Huang…",2025,Findings of the …,Google Scholar,String A,10.18653/v1/2025.findings-naacl.197,https://aclanthology.org/2025.findings-naacl.197/,aclanthology.org,ARTICLE,https://openalex.org/W4411113098
GS057,Composite Test Suites: Evaluating the effectiveness of composition for automated test suite generators in Python,"A Sheehan, A Ladinskis",2025,,Google Scholar,String A,,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1993431,diva-portal.org,ARTICLE,
GS058,TestART: Improving LLM-based Unit Testing via Co-evolution of Automated Generation and Repair Iteration,"S Gu, Q Zhang, K Li, C Fang, F Tian, L Zhu…",2024,arXiv preprint arXiv …,Google Scholar,String A,10.48550/arxiv.2408.03095,https://arxiv.org/abs/2408.03095,arxiv.org,ARTICLE,https://openalex.org/W4403622802
GS059,An Empirical Study on JUnit Test Amplification,DO Owuor,2025,,Google Scholar,String A,,https://search.proquest.com/openview/b6e79004f126a412c3da69e3910b5434/1?pq-origsite=gscholar&cbl=18750&diss=y,search.proquest.com,ARTICLE,
GS060,Less Is More: On the Importance of Data Quality for Unit Test Generation,"J Zhang, X Hu, S Gao, X Xia, D Lo, S Li",2025,Proceedings of the ACM on …,Google Scholar,String A,10.1145/3715778,https://dl.acm.org/doi/abs/10.1145/3715778,dl.acm.org,ARTICLE,https://openalex.org/W4411450188
GS061,UAgent: Adversarial Co-evolution for Targeted Bug Revelation in Unit Testing,"Y Fu, Y Zhang",2025,Proceedings of the 2025 Workshop on Recent …,Google Scholar,String A,10.1145/3733821.3763027,https://dl.acm.org/doi/abs/10.1145/3733821.3763027,dl.acm.org,ARTICLE,https://openalex.org/W4416164608
GS062,A practical survey of automatic unit test generation for JavaScript applications,N Ringbom,2023,Doria (University of Helsinki),Google Scholar,String A,,https://www.doria.fi/handle/10024/188141,doria.fi,ARTICLE,https://openalex.org/W7115409355
GS063,A Systematic Approach for Assessing Large Language Models’ Test Case Generation Capability,"HF Chang, M Shokrolah Shirazi",2025,Software,Google Scholar,String A,10.3390/software4010005,https://www.mdpi.com/2674-113X/4/1/5,mdpi.com,HTML,https://openalex.org/W4408290845
GS064,The Status of JavaScript Test Generation: A Benchmark-Based Evaluation,SR Sunnevudóttir,,repository.tudelft.nl,Google Scholar,String A,,https://repository.tudelft.nl/file/File_3fdf5793-2114-43b6-aac6-6e0fa0301e32,,PDF,
GS065,IntelliUnitGen: A Unit Test Case Generation Framework Based on the Integration of Static Analysis and Prompt Learning,"Z Yang, L Wang",2025,IEEE Access,Google Scholar,String A,10.1109/access.2025.3615990,https://ieeexplore.ieee.org/abstract/document/11184836/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4414647329
GS066,Evaluating the Effectiveness of LLM-Generated Unit Tests in the Context of Industrial DBMS,V Bekmyradov,2026,Cologne Open Science (TH Köln),Google Scholar,String A,10.57684/cos-1441,https://cos.bibl.th-koeln.de/files/1441/bekm26c.pdf,cos.bibl.th-koeln.de,PDF,https://openalex.org/W7154343473
GS067,ASTER: Natural and Multi-Language Unit Test Generation with LLMs,"R Pan, M Kim, R Krishna, R Pavuluri…",2025,2025 IEEE/ACM 47th …,Google Scholar,String A,10.1109/icse-seip66354.2025.00042,https://ieeexplore.ieee.org/abstract/document/11121720/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4413360274
GS068,Advancing Code Coverage: Incorporating Program Analysis with Large Language Models,"C Yang, J Chen, B Lin, Z Wang, J Zhou",2026,ACM Transactions on Software …,Google Scholar,String A,10.1145/3748505,https://dl.acm.org/doi/abs/10.1145/3748505,dl.acm.org,ARTICLE,https://openalex.org/W4412400243
GS069,Evaluating large language models for the generation of unit tests with equivalence partitions and boundary values,"M Rodríguez, G Rossi, A Fernandez",2025,"… on Cloud Computing, Big Data & …",Google Scholar,String A,10.1007/978-3-032-06336-6_4,https://link.springer.com/chapter/10.1007/978-3-032-06336-6_4,Springer,ARTICLE,
GS070,"Python Unit Tests Generation: A comparative Study on Claude Code, Cursor, GitHub Copilot and Amazon Q","M Hassan, Z Liu, B Wang, B Li, J Wang",2026,"Cursor, GitHub Copilot and …",Google Scholar,String A,10.2139/ssrn.6507134,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6507134,papers.ssrn.com,ARTICLE,https://openalex.org/W7147327969
GS071,CoverUp: Effective High Coverage Test Generation for Python,"J Altmayer Pizzorno, ED Berger",2025,Proceedings of the ACM on Software …,Google Scholar,String A,10.1145/3729398,https://dl.acm.org/doi/abs/10.1145/3729398,dl.acm.org,ARTICLE,https://openalex.org/W4411450140
GS072,A Framework for Creating Non-Regressive Test Cases via Branch Consistency Analysis Driven by Descriptions,"Y Zhang, P Xue, Z Yang, X Ren, X Li, L Wu…",2025,arXiv preprint arXiv …,Google Scholar,String A,,https://arxiv.org/abs/2506.07486,arxiv.org,ARTICLE,https://openalex.org/W7127559709
GS073,A Review of Large Language Models for Automated Test Case Generation,"A Celik, QH Mahmoud",2025,Machine Learning and Knowledge Extraction,Google Scholar,String A,10.3390/make7030097,https://www.mdpi.com/2504-4990/7/3/97,mdpi.com,HTML,https://openalex.org/W4414093251
GS074,A quantized LLM driven framework for automated software testing,R Ahmed,2026,,Google Scholar,String A,,https://lutpub.lut.fi/handle/10024/171704,lutpub.lut.fi,ARTICLE,
GS075,Code Generation in Repository Level through LLMs,VI Drouzas,2024,,Google Scholar,String A,,https://www.pyxida.aueb.gr/files/270ae041-23a3-41d4-85a6-db4bac06a5c3/download/Drouzas_2024.pdf,pyxida.aueb.gr,PDF,
GS076,A Logic-Guided and Explainable Approach to LLM-Based Unit Test Generation,"C Zeng, M Li, F Liu, X Yang, J Liu, S Yan",2026,Applied Sciences,Google Scholar,String A,10.3390/app16052542,https://www.mdpi.com/2076-3417/16/5/2542,mdpi.com,HTML,https://openalex.org/W7134061324
GS077,Seed&amp;Steer: Guiding Large Language Models with Compilable Prefix and Branch Signals for Unit Test Generation,"S Zhou, Z Zeng, X Zhou, R Xie, S Zhang…",2025,arXiv preprint arXiv …,Google Scholar,String A,10.48550/arxiv.2507.17271,https://arxiv.org/abs/2507.17271,arxiv.org,ARTICLE,https://openalex.org/W4414879538
GS078,Large language models for unit test generation in React Native TypeScript components,"E Borgström, R Bergvall",2024,,Google Scholar,String A,,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1869379,diva-portal.org,ARTICLE,
GS079,C# Unit Test Generation Using Google Gemini Code Assist: An Empirical Study,E Catir,2025,,Google Scholar,String A,,https://www.diva-portal.org/smash/record.jsf?pid=diva2:2034737,diva-portal.org,ARTICLE,
GS080,Prompt engineering in LLMs for automated unit test generation: A large-scale study,"WC Ouédraogo, AK Kaboré, Y Li, H Tian…",2026,Empirical Software …,Google Scholar,String A,10.1007/s10664-026-10840-4,https://link.springer.com/article/10.1007/s10664-026-10840-4,Springer,ARTICLE,https://openalex.org/W7142196394
GS081,MultiFileTest: A Multi-File-Level LLM Unit Test Generation Benchmark and Impact of Error Fixing Mechanisms,"Y Wang, C Xia, W Zhao, J Du, C Miao, Z Deng…",2025,arXiv preprint arXiv …,Google Scholar,String A,10.48550/arxiv.2502.06556,https://arxiv.org/abs/2502.06556,arxiv.org,ARTICLE,https://openalex.org/W4407359146
GS082,CubeTesterAI: Automated JUnit Test Generation Using the LLaMA Model,"D Gorla, S Kumar, PNR Lorenzini…",2025,2025 IEEE Conference …,Google Scholar,String A,10.1109/icst62969.2025.10988978,https://ieeexplore.ieee.org/abstract/document/10988978/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4410537906
GS083,UT-Evolve: AN EVOLUTIONARY AGENT FOR UNIT TEST WRITING,"A Lalan, R Ghosh, D Dutta",,Workshop on Multi-Agent Learning and Its …,Google Scholar,String A,,https://openreview.net/forum?id=cGsQriixUP,openreview.net,ARTICLE,
GS084,HITS: High-coverage LLM-based Unit Test Generation via Method Slicing,"Z Wang, K Liu, G Li, Z Jin",2024,Proceedings of the 39th IEEE/ACM …,Google Scholar,String A,10.1145/3691620.3695501,https://dl.acm.org/doi/abs/10.1145/3691620.3695501,dl.acm.org,ARTICLE,https://openalex.org/W4403536388
GS085,The Effectiveness of GPT-4o for Generating Test Assertions,A Bagdonas,2024,,Google Scholar,String A,,https://repository.tudelft.nl/file/File_93d360d2-7dd6-4c7c-a905-4650d95c189c?preview=1,repository.tudelft.nl,PDF,
GS086,A System for Automated Unit Test Generation using Large Language Models and Assessment of Generated Test Suites,"A Lops, F Narducci, A Ragone, M Trizio…",2025,… on Software Testing …,Google Scholar,String A,10.1109/icstw64639.2025.10962454,https://ieeexplore.ieee.org/abstract/document/10962454/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4409496087
GS087,AI-Based Unit Test Framework for C Code With Large Language Models,"CW Hsu, WE Wong, Z Chen…",2025,2025 12th International …,Google Scholar,String A,10.1109/dsa66321.2025.00019,https://ieeexplore.ieee.org/abstract/document/11320402/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W7123352531
GS088,Clarifying Semantics of In-Context Examples for Unit Test Generation,"C Yang, L Yang, Z Wang, D Wang, J Zhou…",2025,arXiv preprint arXiv …,Google Scholar,String A,10.48550/arxiv.2510.01994,https://arxiv.org/abs/2510.01994,arxiv.org,ARTICLE,https://openalex.org/W4414819849
GS089,LLMs for Automated Unit Test Generation and Assessment in Java: The AgoneTest Framework,"A Lops, F Narducci, A Ragone, M Trizio…",2025,arXiv preprint arXiv …,Google Scholar,String A,10.48550/arxiv.2511.20403,https://arxiv.org/abs/2511.20403,arxiv.org,ARTICLE,https://openalex.org/W7106815900
GS090,Stateful Multi-Agent Evolutionary Search for Unit Test Generation,"A Lalan, R Ghosh, A Kolsur, D Dutta",,openreview.net,Google Scholar,String A,,https://openreview.net/forum?id=KgYsCrPMJU,,ARTICLE,
GS091,Generate High-Coverage Unit Test Data Using the LLM Tool,"QC Nguyen, TBN Do",2024,International Journal of Innovative Technology and Exploring Engineering,Google Scholar,String A,10.35940/ijitee.l9996.13121124,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5024683,papers.ssrn.com,ARTICLE,https://openalex.org/W4404763109
GS092,TestJudge: A Rigorous Benchmark for Unit Test Generation and Quality Assessment,"Z Kuang, S He, Y Chen, J Liu, S Bao, J Li, S Yu",,openreview.net,Google Scholar,String A,,https://openreview.net/forum?id=aBevb4eKB0,,ARTICLE,
GS093,Mutation Testing via Iterative Large Language Model-Driven Scientific Debugging,"P Straubinger, M Kreis, S Lukasczyk…",2025,… on Software Testing …,Google Scholar,String A,10.1109/icstw64639.2025.10962485,https://ieeexplore.ieee.org/abstract/document/10962485/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4409495635
GS094,LARGE LANGUAGE MODELS IN HIGH-LEVEL SOFTWARE TESTING,T Grönberg,2026,,Google Scholar,String A,,https://trepo.tuni.fi/bitstream/handle/10024/234400/GronbergToni.pdf?sequence=2,trepo.tuni.fi,PDF,
GS095,Investigating Effectiveness of Large Language Models in Automated Software Engineering,J Shin,2025,York University Digital Library (York University),Google Scholar,String A,,https://yorkspace.library.yorku.ca/items/68255a60-14ab-4b02-a50b-74ab7dd3da6b,yorkspace.library.yorku.ca,ARTICLE,https://openalex.org/W7112409423
