id,title,authors,year,venue,database,doi,url,v1_decision,v1_reason,reviewer
GS044,Integration of mutation testing into unit test generation using large language models,"A Kovtko, V Savkiv, H Kozbur, I Kozbur...",2025,Proceedings of the CITI ...,Google Scholar,,https://ceur-ws.org/Vol-4057/paper4.pdf,INCLUDE,"Đáp ứng IC3, IC5: tích hợp mutation testing vào unit test generation bằng LLM.",Reviewer 1
GS045,Mutation testing via iterative large language model-driven scientific debugging,"P Straubinger, M Kreis, S Lukasczyk...",2025,... on Software Testing ...,Google Scholar,10.1109/icstw64639.2025.10962485,https://ieeexplore.ieee.org/abstract/document/10962485/,UNSURE,"Có liên quan LLM, test code và mutation testing nhưng trọng tâm có thể là scientific debugging; giữ để kiểm tra full-text.",Reviewer 1
GS046,Evaluating LLM-Generated Unit Tests with Mutation Testing: ChatGPT vs DeepSeek,"PFM Cabral, JPS Arruda, CRB de Souza...",2025,... Qualidade de Software ...,Google Scholar,10.5753/sbqs.2025.13792,https://sol.sbc.org.br/index.php/sbqs/article/view/39001,INCLUDE,"Đáp ứng IC3, IC5: đánh giá unit tests do LLM sinh bằng mutation testing.",Reviewer 1
GS047,Exploring Test Suite Coverage of Large Language Model-Enhanced Unit Test Generation,A Dragoi,2024,N/A,Google Scholar,,https://repository.tudelft.nl/file/File_51e9ae71-24e0-4eed-be48-0b7728d17d71,INCLUDE,"Đáp ứng IC3, IC5: nghiên cứu coverage của LLM-enhanced unit test generation.",Reviewer 1
GS048,On the Use of Large Language Models in Mutation Testing,"BO WANG, M CHEN, Y LIN, M PAPADAKIS, J ZHANG",2024,arXiv preprint arXiv ...,Google Scholar,,N/A,EXCLUDE,"EC4: tập trung dùng LLM trong mutation testing/mutant generation, không trực tiếp sinh unit tests.",Reviewer 1
GS049,Large language models and software testing,M Dewey,2024,N/A,Google Scholar,10.1016/j.csi.2024.103942,https://scholar.sun.ac.za/server/api/core/bitstreams/ed3a0d90-749c-420d-9d25-a8909f8ad192/content,EXCLUDE,"EC4/EC5: chủ đề software testing với LLM quá rộng, không rõ unit test generation và metric chính.",Reviewer 1
GS050,Llmorpheus: Mutation testing using large language models,"F Tip, J Bell, M Schäfer",2025,IEEE Transactions on Software ...,Google Scholar,10.1109/tse.2025.3562025,https://ieeexplore.ieee.org/abstract/document/10977824/,EXCLUDE,"EC4: LLMorpheus tập trung mutation testing/mutant generation bằng LLM, không phải sinh unit tests.",Reviewer 1
GS051,An exploratory study on using large language models for mutation testing,"B Wang, M Chen, Y Lin, M Papadakis, JM Zhang",2024,arXiv preprint arXiv:2406.09843,Google Scholar,,N/A,EXCLUDE,"EC4: nghiên cứu dùng LLM cho mutation testing, không trực tiếp unit test generation.",Reviewer 1
GS052,Exploiting Test Structure to Enhance Language Models for Software Testing,K Jain,2025,N/A,Google Scholar,,http://reports-archive.adm.cs.cmu.edu/anon/anon/home/ftp/usr0/ftp/s3d2025/CMU-S3D-25-100.pdf,UNSURE,Liên quan software testing và language models nhưng title chưa rõ unit test generation và metric; giữ để kiểm tra full-text nếu cần.,Reviewer 1
GS053,An LLM-based framework for automated Python test generation and mutation testing evaluation,"S Nafis, AA Walid, AS Anuja",2025,N/A,Google Scholar,,https://dspace.bracu.ac.bd/xmlui/handle/10361/26750,INCLUDE,"Đáp ứng IC3, IC5, IC6: framework LLM sinh test Python và đánh giá bằng mutation testing.",Reviewer 1
GS055,GEM: A Framework for Strengthening LLM-Generated Unit Tests Using Mutation Feedback,"A Celik, QH Mahmoud",2026,... Ibero-Americano em Engenharia de Software ...,Google Scholar,10.5753/cibse.2026.42441,https://sol.sbc.org.br/index.php/cibse/article/view/42441,INCLUDE,"Đáp ứng IC3, IC5: tăng cường LLM-generated unit tests bằng mutation feedback.",Reviewer 1
GS056,Effectiveness of software testing suites in regards to a microservice environment: Using mutation testing to analyze and evaluate unit testing in a software development ...,A Ärnbäck,2025,N/A,Google Scholar,,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1948932,EXCLUDE,"EC3/EC4: đánh giá test suites/microservice bằng mutation testing, không phải LLM unit test generation.",Reviewer 1
GS057,Test vs Mutant: Adversarial LLM Agents for Robust Unit Test Generation,"P Chang, Y Fang, S Chen, Y Shi, B Shen...",2026,arXiv preprint arXiv ...,Google Scholar,10.48550/arXiv.2602.08146,https://arxiv.org/abs/2602.08146,INCLUDE,"Đáp ứng IC3, IC5: adversarial LLM agents cho robust unit test generation với mutant feedback.",Reviewer 1
GS058,Mutation Testing of Simulink Models using Large Language Models,J Zhang,2024,N/A,Google Scholar,,https://ruor.uottawa.ca/items/3265de74-b6b3-42c1-823e-7484071110c8,EXCLUDE,"EC6: mutation testing cho Simulink models, không phù hợp phạm vi Java/Python unit tests.",Reviewer 1
GS060,Intent-Based Mutation Testing: From Naturally Written Programming Intents to Mutants,"A Hamidi, A Khanfir...",2025,... on Software Testing ...,Google Scholar,10.1109/icstw64639.2025.10962508,https://ieeexplore.ieee.org/abstract/document/10962508/,EXCLUDE,"EC4: intent-based mutation testing tạo mutants từ intent, không phải sinh unit tests bằng LLM.",Reviewer 1
