Id ,Title,Authors,Year,Venue,Database,Search String,DOI,Url
SS019,"An Experimental Study Evaluating Cost, Adequacy, and Effectiveness of Pynguin's Test Sets","Guerino, Lucca; Vincenzi, Auri",2023,8th Brazilian Symposium on Systematic and Automated Software Testing,Semantic Scholar,String A,10.1145/3624032.3624034,https://dl.acm.org/doi/10.1145/3624032.3624034
SS020,An initial investigation of ChatGPT unit test generation capability,"Guilherme, Vitor; Vincenzi, Auri",2023,8th Brazilian Symposium on Systematic and Automated Software Testing,Semantic Scholar,String A,10.1145/3624032.3624035,https://dl.acm.org/doi/10.1145/3624032.3624035
SS021,An LLM-based Readability Measurement for Unit Tests' Context-aware Inputs,"Zhou, Zhichao; Tang, Yutian; Lin, Yun; He, Jingzhu",2024,,Semantic Scholar,String A,10.48550/ARXIV.2407.21369,https://arxiv.org/abs/2407.21369
SS022,Ant-Colony Optimization for Automating Test Models Generation in Model Transformation Testing,"Karimi, Meysam; Kolahdouz-Rahimi, Shekoufeh; Troya, Javier",2023,,Semantic Scholar,String A,10.2139/ssrn.4399498,https://www.ssrn.com/abstract=4399498
SS023,AssertGen: Enhancement of LLM-aided Assertion Generation through Cross-Layer Signal Bridging,"Lyu, Hongqin; Wang, Yonghao; Du, Yunlin; Shi, Mingyu; Chao, Zhiteng; Li, Wenxing; Wang, Tiancheng; Li, Huawei",2025,2025 IEEE 34th Asian Test Symposium (ATS),Semantic Scholar,String A,10.1109/ATS66998.2025.00013,https://ieeexplore.ieee.org/document/11487995/
SS024,Assessing Evaluation Metrics for Neural Test Oracle Generation,"Shin, Jiho; Hemmati, Hadi; Wei, Moshi; Wang, Song",2024,IEEE Transactions on Software Engineering,Semantic Scholar,String A,10.1109/TSE.2024.3433463,https://ieeexplore.ieee.org/document/10609742/
SS025,Assessing the Impact of Code Changes on the Fault Localizability of Large Language Models,"Haroon, Sabaat; Khan, Ahmad Faraz; Humayun, Ahmad; Gill, Waris; Amjad, Abdul Haddi; Butt, A. R.; Khan, Mohammad Taha; Gulzar, Muhammad Ali",2025,,Semantic Scholar,String A,,https://www.semanticscholar.org/paper/Assessing-the-Impact-of-Code-Changes-on-the-Fault-Haroon-Khan/80d9be5c1728aa0cc6e2e0c3a98fc7bc56837315
SS026,ASTER: Natural and Multi-language Unit Test Generation with LLMs,"Pan, Rangeet; Kim, Myeongsoo; Krishna, Rahul; Pavuluri, Raju; Sinha, Saurabh",2024,,Semantic Scholar,String A,10.48550/ARXIV.2409.03093,https://arxiv.org/abs/2409.03093
SS027,Attribution-guided Adversarial Code Prompt Generation for Code Completion Models,"Li, Xueyang; Meng, Guozhu; Liu, Shangqing; Xiang, Lu; Sun, Kun; Chen, Kai; Luo, Xiapu; Liu, Yang",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,Semantic Scholar,String A,10.1145/3691620.3695517,https://dl.acm.org/doi/10.1145/3691620.3695517
SS028,Augmenting Greybox Fuzzing with Generative AI,"Hu, Jie; Zhang, Qian; Yin, Heng",2023,,Semantic Scholar,String A,10.48550/ARXIV.2306.06782,https://arxiv.org/abs/2306.06782
SS029,Automated Generation and Evaluation of JMH Microbenchmark Suites From Unit Tests,"Jangali, Mostafa; Tang, Yiming; Alexandersson, Niclas; Leitner, Philipp; Yang, Jinqiu; Shang, Weiyi",2023,IEEE Transactions on Software Engineering,Semantic Scholar,String A,10.1109/TSE.2022.3188005,https://ieeexplore.ieee.org/document/9813593/
SS030,Automated SC-MCC test case generation using coverage-guided fuzzing,"Golla, Monika Rani; Godboley, Sangharatna",2024,Software Quality Journal,Semantic Scholar,String A,10.1007/s11219-024-09667-3,https://link.springer.com/10.1007/s11219-024-09667-3
SS031,Automated Unit Test Case Generation: A Systematic Literature Review,"Wang, Jason; Suleiman, Basem; Alibasa, Muhammad Johan",2025,,Semantic Scholar,String A,10.48550/ARXIV.2504.20357,https://arxiv.org/abs/2504.20357
SS032,Automatic Unit Test Generation for Programming Assignments Using Large Language Models,"Zheng, Kaisheng; Shen, Yuanyang; Tao, Yida",2025,2025 IEEE/ACM 37th International Conference on Software Engineering Education and Training (CSEE&amp;T),Semantic Scholar,String A,10.1109/CSEET66350.2025.00031,https://ieeexplore.ieee.org/document/11024401/
SS033,Autonomous Multiobjective Optimization Using Large Language Model,"Huang, Yuxiao; Wu, Shenghao; Zhang, Wenjie; Wu, Jibin; Feng, Liang; Tan, Kay Chen",2026,IEEE Transactions on Evolutionary Computation,Semantic Scholar,String A,10.1109/TEVC.2025.3561001,https://ieeexplore.ieee.org/document/10965770/
SS034,AutoSafeCoder: A Multi-Agent Framework for Securing LLM Code Generation through Static Analysis and Fuzz Testing,"Nunez, Ana; Islam, Nafis Tanveer; Jha, Sumit Kumar; Najafirad, Peyman",2024,,Semantic Scholar,String A,10.48550/ARXIV.2409.10737,https://arxiv.org/abs/2409.10737
SS035,"BBT-176, a Novel Fourth-Generation Tyrosine Kinase Inhibitor for Osimertinib-Resistant EGFR Mutations in Non–Small Cell Lung Cancer","Lim, Sun Min; Fujino, Toshio; Kim, Chulwon; Lee, Gwanghee; Lee, Yong-Hee; Kim, Dong-Wan; Ahn, Jin Seok; Mitsudomi, Tetsuya; Jin, Taiguang; Lee, Sang-Yoon",2023,Clinical Cancer Research,Semantic Scholar,String A,10.1158/1078-0432.CCR-22-3901,https://aacrjournals.org/clincancerres/article/29/16/3004/728239/BBT-176-a-Novel-Fourth-Generation-Tyrosine-Kinase
SS036,BDMMT: Backdoor Sample Detection for Language Models Through Model Mutation Testing,"Wei, Jiali; Fan, Ming; Jiao, Wenjing; Jin, Wuxia; Liu, Ting",2024,IEEE Transactions on Information Forensics and Security,Semantic Scholar,String A,10.1109/TIFS.2024.3376968,https://ieeexplore.ieee.org/document/10471589/
SS037,BehAVExplor: Behavior Diversity Guided Testing for Autonomous Driving Systems,"Cheng, Mingfei; Zhou, Yuan; Xie, Xiaofei",2023,Proceedings of the 32nd ACM SIGSOFT International Symposium on Software Testing and Analysis,Semantic Scholar,String A,10.1145/3597926.3598072,https://dl.acm.org/doi/10.1145/3597926.3598072
SS038,Benchmarking Automated Program Repair: An Extensive Study on Both Real-World and Artificial Bugs,"Ouyang, Yicheng; Yang, Jun; Zhang, Lingming",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,Semantic Scholar,String A,10.1145/3650212.3652140,https://dl.acm.org/doi/10.1145/3650212.3652140
SS039,Benchmarking Combinations of Learning and Testing Algorithms for Automata Learning,"Aichernig, Bernhard K.; Tappler, Martin; Wallner, Felix",2024,Formal Aspects of Computing,Semantic Scholar,String A,10.1145/3605360,https://dl.acm.org/doi/10.1145/3605360
SS040,Benchmarking LLMs for Unit Test Generation from Real-World Functions,"Huang, Dong; Zhang, Jie M.; Harman, Mark; Zhang, Qianru; Du, Mingzhe; Ng, See-Kiong",2026,ACM Transactions on Software Engineering and Methodology,Semantic Scholar,String A,10.1145/3805043,https://dl.acm.org/doi/10.1145/3805043
SS041,BigCodeBench: Benchmarking Code Generation with Diverse Function Calls and Complex Instructions,"Zhuo, Terry Yue; Vu, Minh Chien; Chim, Jenny; Hu, Han; Yu, Wenhao; Widyasari, Ratnadira; Yusuf, Imam Nur Bani; Zhan, Haolan; He, Junda; Paul, Indraneil; Brunner, Simon; Gong, Chen; Hoang, Thong; Zebaze, Armel Randy; Hong, Xiaoheng; Li, Wen-Ding; Kaddour, Jean; Xu, Ming; Zhang, Zhihan; Yadav, Prateek; Jain, Naman; Gu, Alex; Cheng, Zhoujun; Liu, Jiawei; Liu, Qian; Wang, Zijian; Hui, Binyuan; Muennighoff, Niklas; Lo, David; Fried, Daniel; Du, Xiaoning; de Vries, Harm; Von Werra, Leandro",2024,,Semantic Scholar,String A,10.48550/ARXIV.2406.15877,https://arxiv.org/abs/2406.15877
SS042,BLADE: Benchmark suite for LLM-driven Automated Design and Evolution of iterative optimisation heuristics,"Van Stein, Niki; V. Kononova, Anna; Yin, Haoran; Bäck, Thomas",2025,Proceedings of the Genetic and Evolutionary Computation Conference Companion,Semantic Scholar,String A,10.1145/3712255.3734347,https://dl.acm.org/doi/10.1145/3712255.3734347
SS043,Building Critical Testing Scenarios for Autonomous Driving from Real Accidents,"Zhang, Xudong; Cai, Yan",2023,Proceedings of the 32nd ACM SIGSOFT International Symposium on Software Testing and Analysis,Semantic Scholar,String A,10.1145/3597926.3598070,https://dl.acm.org/doi/10.1145/3597926.3598070
SS044,"CADD v1.7: using protein language models, regulatory CNNs and other nucleotide-level scores to improve genome-wide variant predictions","Schubach, Max; Maass, Thorben; Nazaretyan, Lusiné; Röner, Sebastian; Kircher, Martin",2024,Nucleic Acids Research,Semantic Scholar,String A,10.1093/nar/gkad989,https://academic.oup.com/nar/article/52/D1/D1143/7511313
SS045,CFTCG: Test Case Generation for Simulink Model through Code Based Fuzzing,"Su, Zhuo; Yu, Zehong; Wang, Dongyan; Wang, Rui; Tao, Yang; Jiang, Yu",2024,Proceedings of the 61st ACM/IEEE Design Automation Conference,Semantic Scholar,String A,10.1145/3649329.3656216,https://dl.acm.org/doi/10.1145/3649329.3656216
SS046,ChatHTTPFuzz: large language model-assisted IoT HTTP fuzzing,"Yang, Zhe; Peng, Hao; Jiang, Yanling; Li, Xingwei; Du, Haohua; Wang, Shuhai; Liu, Jianwei",2025,International Journal of Machine Learning and Cybernetics,Semantic Scholar,String A,10.1007/s13042-024-02527-3,https://link.springer.com/10.1007/s13042-024-02527-3
SS047,Clarifying Semantics of In-Context Examples for Unit Test Generation,"Yang, Chen; Yang, Lin; Wang, Ziqi; Wang, Dong; Zhou, Jianyi; Chen, Junjie",2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),Semantic Scholar,String A,10.1109/ASE63991.2025.00250,https://ieeexplore.ieee.org/document/11334234/
SS048,"CLOVER: A Test Case Generation Benchmark with Coverage, Long-Context, and Verification","Xu, Jiacheng; Pang, Bo; Qu, Jin; Hayashi, Hiroaki; Xiong, Caiming; Zhou, Yingbo",2025,,Semantic Scholar,String A,10.48550/ARXIV.2502.08806,https://arxiv.org/abs/2502.08806
SS049,CoCoEvo: Co-Evolution of Programs and Test Cases to Enhance Code Generation,"Li, Kefan; Yuan, Yuan; Yu, Hongyue; Guo, Tingyu; Cao, Shijie",2025,,Semantic Scholar,String A,10.48550/ARXIV.2502.10802,https://arxiv.org/abs/2502.10802
SS050,CodaMosa: Escaping Coverage Plateaus in Test Generation with Pre-trained Large Language Models,"Lemieux, Caroline; Inala, Jeevana Priya; Lahiri, Shuvendu K.; Sen, Siddhartha",2023,2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE),Semantic Scholar,String A,10.1109/ICSE48619.2023.00085,https://ieeexplore.ieee.org/document/10172800/
SS051,Combining TSL and LLM to Automate REST API Testing: A Comparative Study,"Barradas, Thiago; Paes, Aline; Neves, Vânia De Oliveira",2025,Anais do XXXIX Simpósio Brasileiro de Engenharia de Software (SBES 2025),Semantic Scholar,String A,10.5753/sbes.2025.9670,https://sol.sbc.org.br/index.php/sbes/article/view/36987
SS052,Compiler Bug Isolation via Enhanced Test Program Mutation,"Liu, Yujie; Zhu, Mingxuan; Dong, Jinhao; Yu, Junzhe; Hao, Dan",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,Semantic Scholar,String A,10.1145/3691620.3695074,https://dl.acm.org/doi/10.1145/3691620.3695074
SS053,Contextual Predictive Mutation Testing,"Jain, Kush; Alon, Uri; Groce, Alex; Le Goues, Claire",2023,Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,Semantic Scholar,String A,10.1145/3611643.3616289,https://dl.acm.org/doi/10.1145/3611643.3616289
SS054,Cost Savings of Expedited Care with Upfront Next-Generation Sequencing Testing versus Single-Gene Testing among Patients with Metastatic Non-Small Cell Lung Cancer Based on Current Canadian Practices,"Sheffield, Brandon S.; Eaton, Kiefer; Emond, Bruno; Lafeuille, Marie-Hélène; Hilts, Annalise; Lefebvre, Patrick; Morrison, Laura; Stevens, Andrea L.; Ewara, Emmanuel M.; Cheema, Parneet",2023,Current Oncology,Semantic Scholar,String A,10.3390/curroncol30020180,https://www.mdpi.com/1718-7729/30/2/180
SS055,COSTELLO: Contrastive Testing for Embedding-Based Large Language Model as a Service Embeddings,"Jiang, Weipeng; Zhai, Juan; Ma, Shiqing; Zhang, Xiaoyu; Shen, Chao",2024,Proceedings of the ACM on Software Engineering,Semantic Scholar,String A,10.1145/3643767,https://dl.acm.org/doi/10.1145/3643767
SS056,CoverUp: Effective High Coverage Test Generation for Python,"Altmayer Pizzorno, Juan; Berger, Emery D.",2025,Proceedings of the ACM on Software Engineering,Semantic Scholar,String A,10.1145/3729398,https://dl.acm.org/doi/10.1145/3729398
SS057,CovRL: Fuzzing JavaScript Engines with Coverage-Guided Reinforcement Learning for LLM-based Mutation,"Eom, Jueon; Jeong, Seyeon; Kwon, Taekyoung",2024,,Semantic Scholar,String A,10.48550/ARXIV.2402.12222,https://arxiv.org/abs/2402.12222
SS058,Deep Learning for Hyperspectral Image Classification: A Critical Evaluation via Mutation Testing,"Chen, Zhifei; Hao, Yang; Liu, Qichao; Liu, Yuyong; Zhu, Mingyang; Xiao, Liang",2024,Remote Sensing,Semantic Scholar,String A,10.3390/rs16244695,https://www.mdpi.com/2072-4292/16/24/4695
SS059,Deep Reinforcement Learning-Based Automatic Test Case Generation for Hardware Verification,"Chen, Jingyi; Yan, Lei; Wang, Shikai; Zheng, Wenxuan",2024,Journal of Artificial Intelligence General science (JAIGS) ISSN:3006-4023,Semantic Scholar,String A,10.60087/jaigs.v6i1.267,https://ojs.boulibrary.com/index.php/JAIGS/article/view/267
SS060,DeepCrime: from Real Faults to Mutation Testing Tool for Deep Learning,"Humbatova, Nargiz; Jahangirova, Gunel; Tonella, Paolo",2023,2023 IEEE/ACM 45th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),Semantic Scholar,String A,10.1109/ICSE-Companion58688.2023.00027,https://ieeexplore.ieee.org/document/10172493/
SS061,Demystify the Fuzzing Methods: A Comprehensive Survey,"Mallissery, Sanoop; Wu, Yu-Sung",2024,ACM Computing Surveys,Semantic Scholar,String A,10.1145/3623375,https://dl.acm.org/doi/10.1145/3623375
SS062,Demystifying Memorization in LLM-Based Program Repair via a General Hypothesis Testing Framework,"Kong, Jiaolong; Xie, Xiaofei; Liu, Shangqing",2025,Proceedings of the ACM on Software Engineering,Semantic Scholar,String A,10.1145/3729390,https://dl.acm.org/doi/10.1145/3729390
SS063,Design and Implementation of Gamified Learning System for Mutation Testing,"the Department of Information Engineering and Computer Science, Feng Chia University, Taiwan; Hsueh, Nien-Lin; Xuan, Zeng Hung; Daramsenge, Bilegjargal",2023,International Journal of Information and Education Technology,Semantic Scholar,String A,10.18178/ijiet.2023.13.7.1916,http://www.ijiet.org/show-190-2519-1.html
SS064,Developmental expression of the Sturge–Weber syndrome-associated genetic mutation in <i>Gnaq</i> : a formal test of Happle's paradominant inheritance hypothesis,"Wetzel-Strong, Sarah E; Galeffi, Francesca; Benavides, Christian; Patrucco, Mary; Bullock, Jessica L; Gallione, Carol J; Lee, Han Kyu; Marchuk, Douglas A",2023,GENETICS,Semantic Scholar,String A,10.1093/genetics/iyad077,https://academic.oup.com/genetics/article/doi/10.1093/genetics/iyad077/7142608
SS065,Distribution and Detectability of EGFR Exon 20 Insertion Variants in NSCLC,"Ou, Sai-Hong Ignatius; Hong, Jin-Liern; Christopoulos, Petros; Lin, Huamao M.; Vincent, Sylvie; Churchill, Eric N.; Soeda, Junpei; Kazdal, Daniel; Stenzinger, Albrecht; Thomas, Michael",2023,Journal of Thoracic Oncology,Semantic Scholar,String A,10.1016/j.jtho.2023.01.086,https://linkinghub.elsevier.com/retrieve/pii/S1556086423000953
SS066,Do LLMs Generate Useful Test Oracles? An Empirical Study with an Unbiased Dataset,"Molinelli, Davide; Grazia, Luca Di; Martin-Lopez, Alberto; Ernst, Michael D.; Pezzè, Mauro",2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),Semantic Scholar,String A,10.1109/ASE63991.2025.00031,https://ieeexplore.ieee.org/document/11334509/
SS067,Do you still need a manual smart contract audit?,"David, Isaac; Zhou, Liyi; Qin, Kaihua; Song, Dawn; Cavallaro, Lorenzo; Gervais, Arthur",2023,,Semantic Scholar,String A,10.48550/ARXIV.2306.12338,https://arxiv.org/abs/2306.12338
SS068,Domain Adaptation for Code Model-Based Unit Test Case Generation,"Shin, Jiho; Hashtroudi, Sepehr; Hemmati, Hadi; Wang, Song",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,Semantic Scholar,String A,10.1145/3650212.3680354,https://dl.acm.org/doi/10.1145/3650212.3680354
SS069,Dual-AAV split prime editor corrects the mutation and phenotype in mice with inherited retinal degeneration,"She, Kaiqin; Liu, Yi; Zhao, Qinyu; Jin, Xiu; Yang, Yiliu; Su, Jing; Li, Ruiting; Song, Li; Xiao, Jianlu; Yao, Shaohua; Lu, Fang; Wei, Yuquan; Yang, Yang",2023,Signal Transduction and Targeted Therapy,Semantic Scholar,String A,10.1038/s41392-022-01234-1,https://www.nature.com/articles/s41392-022-01234-1
SS070,DY Fuzzing: Formal Dolev-Yao Models Meet Cryptographic Protocol Fuzz Testing,"Ammann, Max; Hirschi, Lucca; Kremer, Steve",2024,2024 IEEE Symposium on Security and Privacy (SP),Semantic Scholar,String A,10.1109/SP54263.2024.00096,https://ieeexplore.ieee.org/document/10646658/
SS071,ECFuzz: Effective Configuration Fuzzing for Large-Scale Systems,"Li, Junqiang; Li, Senyi; Li, Keyao; Luo, Falin; Yu, Hongfang; Li, Shanshan; Li, Xiang",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,Semantic Scholar,String A,10.1145/3597503.3623315,https://dl.acm.org/doi/10.1145/3597503.3623315
SS072,Effective Test Generation Using Pre-trained Large Language Models and Mutation Testing,"Dakhel, Arghavan Moradi; Nikanjam, Amin; Majdinasab, Vahid; Khomh, Foutse; Desmarais, Michel C.",2023,,Semantic Scholar,String A,10.48550/ARXIV.2308.16557,https://arxiv.org/abs/2308.16557
SS073,Efficient evolution of human antibodies from general protein language models,"Hie, Brian L.; Shanker, Varun R.; Xu, Duo; Bruun, Theodora U. J.; Weidenbacher, Payton A.; Tang, Shaogeng; Wu, Wesley; Pak, John E.; Kim, Peter S.",2024,Nature Biotechnology,Semantic Scholar,String A,10.1038/s41587-023-01763-2,https://www.nature.com/articles/s41587-023-01763-2
SS074,Efficient Mutation Testing via Pre-Trained Language Models,"Khanfir, Ahmed; Degiovanni, Renzo; Papadakis, Mike; Traon, Yves Le",2023,,Semantic Scholar,String A,10.48550/ARXIV.2301.03543,https://arxiv.org/abs/2301.03543
SS075,Empowering Educators: Towards a GPT-Based Approach to Automate Unit Test Generation,"Elhayany, Mohamed; Meinel, Christoph",2025,2025 IEEE Global Engineering Education Conference (EDUCON),Semantic Scholar,String A,10.1109/EDUCON62633.2025.11016616,https://ieeexplore.ieee.org/document/11016616/
SS076,Enhancing Genetic Improvement Mutations Using Large Language Models,"Brownlee, Alexander E. I.; Callan, James; Even-Mendoza, Karine; Geiger, Alina; Hanna, Carol; Petke, Justyna; Sarro, Federica; Sobania, Dominik",2024,,Semantic Scholar,String A,10.1007/978-3-031-48796-5_13,https://link.springer.com/10.1007/978-3-031-48796-5_13
SS077,Enhancing search-based testing with LLMs for finding bugs in system simulators,"Dakhama, Aidan; Even-Mendoza, Karine; Langdon, W. B; Menéndez, Héctor D.; Petke, Justyna",2025,Automated Software Engineering,Semantic Scholar,String A,10.1007/s10515-025-00531-7,https://link.springer.com/10.1007/s10515-025-00531-7
SS078,EtherDiffer: Differential Testing on RPC Services of Ethereum Nodes,"Kim, Shinhae; Hwang, Sungjae",2023,Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,Semantic Scholar,String A,10.1145/3611643.3616251,https://dl.acm.org/doi/10.1145/3611643.3616251
SS079,Evaluating LLM-Based Test Generation Under Software Evolution,"Haroon, Sabaat; Khan, Mohammad Taha; Gulzar, Muhammad Ali",2026,,Semantic Scholar,String A,,https://www.semanticscholar.org/paper/Evaluating-LLM-Based-Test-Generation-Under-Software-Haroon-Khan/d03674e1437bc9ceeef2e46ebf8848e3a212ab85
SS080,Evaluating LLM-Generated Unit Tests with Mutation Testing: ChatGPT vs DeepSeek,"Cabral, Pedro Fernando Marinho; Arruda, João Pedro Souza; Souza, Cleidson Ronald Botelho De; Pinto, Victor Hugo Santiago Costa",2025,Anais do XXIV Simpósio Brasileiro de Qualidade de Software (SBQS 2025),Semantic Scholar,String A,10.5753/sbqs.2025.13792,https://sol.sbc.org.br/index.php/sbqs/article/view/39001
SS081,Evaluating the Effectiveness and Cost-Efficiency of Large Language Models in Automated Unit Test Generation,"Lira, Werney Ayala Luz; SantosNeto, Pedro De Alcântara Dos; Avelino, Guilherme Amaral; Osório, Luiz Fernando Mendes",2025,Anais do XXIV Simpósio Brasileiro de Qualidade de Software (SBQS 2025),Semantic Scholar,String A,10.5753/sbqs.2025.13853,https://sol.sbc.org.br/index.php/sbqs/article/view/39000
SS082,Evaluating the Effectiveness of a Testing Checklist Intervention in CS2: An Quasi-experimental Replication Study,"Bai, Gina R.; Jiang, Zuoxuan; Price, Thomas W.; Stolee, Kathryn T.",2024,Proceedings of the 2024 ACM Conference on International Computing Education Research - Volume 1,Semantic Scholar,String A,10.1145/3632620.3671102,https://dl.acm.org/doi/10.1145/3632620.3671102
SS083,Evaluating the Test Adequacy of Benchmarks for LLMs on Code Generation,"Liu, Xiangyue; Sun, Xiaobing; Bo, Lili; Hu, Yufei; Liu, Xinwei; Ye, Zhenlei",2025,Journal of Software: Evolution and Process,Semantic Scholar,String A,10.1002/smr.70034,https://onlinelibrary.wiley.com/doi/10.1002/smr.70034
