id,title,authors,year,venue,database,search_string,doi,url,v1_decision,v1_reason
OA011,Reference-Based Retrieval-Augmented Unit Test Generation,"Zhe Zhang, Xingyu Liu, Yuanzhang Lin, Xiang Gao, Hailong Sun, Yuan Yuan",2025,ACM Transactions on Software Engineering and Methodology,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.1145/3765758,https://doi.org/10.1145/3765758,INCLUDE,Đánh giá khả năng sinh testcase của LLM hướng tới tối ưu hóa độ bao phủ (coverage).
OA012,Less Is More: On the Importance of Data Quality for Unit Test Generation,"Junwei Zhang, Xing Hu, Shan Gao, Xin Xia, David Lo, Shanping Li",2025,Proceedings of the ACM on software engineering.,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.1145/3715778,https://doi.org/10.1145/3715778,INCLUDE,Đánh giá khả năng sinh testcase của LLM hướng tới tối ưu hóa độ bao phủ (coverage).
OA013,Domain Adaptation for Code Model-based Unit Test Case Generation,"Jiho Shin, Sepehr Hashtroudi, Hadi Hemmati, Song Wang",2023,arXiv (Cornell University),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2308.08033,https://doi.org/10.1145/3650212.3680354,INCLUDE,Nghiên cứu kết hợp LLM sinh test case và mutation testing để cải thiện độ mạnh kiểm thử.
OA014,Evaluating the Test Adequacy of Benchmarks for LLMs on Code Generation,"Xiangyue Liu, Xiaobing Sun, Lili Bo, Yufei Hu, Xinwei Liu, Zhenlei Ye",2025,Journal of Software Evolution and Process,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.1002/smr.70034,https://doi.org/10.1002/smr.70034,INCLUDE,Nghiên cứu kết hợp LLM sinh test case và mutation testing để cải thiện độ mạnh kiểm thử.
OA015,Benchmarking LLMs for Unit Test Generation from Real-World Functions,"Dong Huang, Jie M. Zhang, Mark Harman, Q. Zhang, Mingzhe Du, See-Kiong Ng",2026,ACM Transactions on Software Engineering and Methodology,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.1145/3805043,https://doi.org/10.1145/3805043,INCLUDE,Nghiên cứu kết hợp LLM sinh test case và mutation testing để cải thiện độ mạnh kiểm thử.
OA016,TestBench: Evaluating Class-Level Test Case Generation Capability of Large Language Models,"Quanjun Zhang, Ye Shang, Chunrong Fang, Siqi Gu, Jianyi Zhou, Zhenyu Chen",2024,arXiv (Cornell University),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2409.17561,https://www.semanticscholar.org/search?q=2409.17561,INCLUDE,Đánh giá khả năng sinh testcase của LLM hướng tới tối ưu hóa độ bao phủ (coverage).
OA017,HITS: High-coverage LLM-based Unit Test Generation via Method Slicing,"Zejun Wang, Kaibo Liu, Ge Li, Zhi Jin",2024,arXiv (Cornell University),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2408.11324,https://doi.org/10.1145/3691620.3695501,INCLUDE,Đánh giá khả năng sinh testcase của LLM hướng tới tối ưu hóa độ bao phủ (coverage).
OA018,Clarifying Semantics of In-Context Examples for Unit Test Generation,"Chen Yang, Lin Yang, Ziqi Wang, Dong Wang, Jianyi Zhou, Junjie Chen",2025,ArXiv.org,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2510.01994,https://doi.org/10.1109/ase63991.2025.00250,INCLUDE,Nghiên cứu kết hợp LLM sinh test case và mutation testing để cải thiện độ mạnh kiểm thử.
OA019,"TestForge: Feedback-Driven, Agentic Test Suite Generation","Kush Jain, Claire Le Goues",2025,ArXiv.org,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2503.14713,https://www.semanticscholar.org/search?q=2503.14713,UNSURE,Hệ thống/nền tảng kiểm thử; cần kiểm định thêm ở vòng 2 để xem có thực nghiệm kiểm thử đơn vị và các metric tương ứng không.
OA020,EvoGPT: Leveraging LLM-Driven Seed Diversity to Improve Search-Based Test Suite Generation,"Lior Broide, Roni Stern, Mordoch, Argaman",2025,arXiv (Cornell University),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2505.12424,https://www.semanticscholar.org/paper/EvoGPT%3A-Leveraging-LLM-Driven-Seed-Diversity-to-Broide-Stern/dca91fa9a1fec0cae36cc6bbf200c8f5f0881c2f,INCLUDE,Nghiên cứu kết hợp LLM sinh test case và mutation testing để cải thiện độ mạnh kiểm thử.
OA021,АРХІТЕКТУРА АВТОМАТИЗОВАНОЇ СИСТЕМИ ГЕНЕРАЦІЇ ТЕСТІВ,"Андрій Ковтко, ВОЛОДИМИР САВКІВ",2026,Herald of Khmelnytskyi National University Technical sciences,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.31891/2307-5732-2026-365-48,https://doi.org/10.31891/2307-5732-2026-365-48,EXCLUDE,"EC6 - Bài báo viết bằng tiếng Ukraina (không phải tiếng Anh), vi phạm tiêu chí ngôn ngữ IC1."
OA022,SPARC: Scenario Planning and Reasoning for Automated C Unit Test Generation,"Chowdhury, Jaid Monwar, Chi-An Fu, Reyhaneh Jabbarvand",2026,Open MIND,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2602.16671,https://www.semanticscholar.org/search?q=2602.16671,EXCLUDE,"EC6 - Nghiên cứu đánh giá trên ngôn ngữ C/C++ hoặc C#, vi phạm đối tượng kiểm thử Java/Python của IC6."
OA023,Utvärdering av enhetstestsgenerering i C# med Google Gemini Code Assist,Emir Catir,2025,KTH Publication Database DiVA (KTH Royal Institute of Technology),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),N/A,https://www.semanticscholar.org/search?q=Emir+Catir+C%23+Gemini+Code+Assist+unit+test,EXCLUDE,"EC6 - Bài báo viết bằng tiếng Thụy Điển (không phải tiếng Anh), vi phạm tiêu chí ngôn ngữ IC1."
OA024,Beyond Coverage: Automatic Test Suite Augmentation for Enhanced Effectiveness using Large Language Models,"Zeyu Lu, Peng Zhang, Yuge Nie, Yibiao Yang, Yutian Tang, Chun Yong Chong, Yuming Zhou",2026,Proceedings of the ACM on Programming Languages,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.1145/3798251,https://doi.org/10.1145/3798251,INCLUDE,Nghiên cứu kết hợp LLM sinh test case và mutation testing để cải thiện độ mạnh kiểm thử.
OA025,Program Structure-aware Language Models: Targeted Software Testing beyond Textual Semantics,"Khang Tran, Khoa Nguyen, Cristian Borcea, NhatHai Phan",2026,arXiv (Cornell University),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2604.17715,https://www.semanticscholar.org/search?q=2604.17715,INCLUDE,Nghiên cứu kết hợp LLM sinh test case và mutation testing để cải thiện độ mạnh kiểm thử.
OA026,Large Language Models for Automated Software Test Generation,Juby George,2026,Zenodo (CERN European Organization for Nuclear Research),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.5281/zenodo.19508536,https://scholar.google.com/scholar?q=Large+Language+Models+for+Automated+Software+Test+Generation+Juby+George,INCLUDE,Nghiên cứu kết hợp LLM sinh test case và mutation testing để cải thiện độ mạnh kiểm thử.
OA027,Hallucination to Consensus: Multi-Agent LLMs for End-to-End JUnit Test Generation,"Qinghua Xu, Guancheng Wang, Lionel Briand, Kui Liu",2026,ACM Transactions on Software Engineering and Methodology,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.1145/3803418,https://doi.org/10.1145/3803418,INCLUDE,Nghiên cứu kết hợp LLM sinh test case và mutation testing để cải thiện độ mạnh kiểm thử.
OA028,How well LLM-based test generation techniques perform with newer LLM versions?,"Michael Konstantinou, Degiovanni, Renzo, Papadakis, Mike",2026,arXiv (Cornell University),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2601.09695,https://www.semanticscholar.org/search?q=2601.09695,INCLUDE,Nghiên cứu kết hợp LLM sinh test case và mutation testing để cải thiện độ mạnh kiểm thử.
OA029,Evaluasi Teknik Prompting pada Large Language Model untuk Otomatisasi Penyusunan Skenario Unit Testing Smart Contract,"Salman El Farisi, Fahlia Athiyya Marva",2026,JTIM Jurnal Teknologi Informasi dan Multimedia,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.35746/jtim.v8i1.912,https://doi.org/10.35746/jtim.v8i1.912,EXCLUDE,"EC6 - Bài báo viết bằng tiếng Indonesia (không phải tiếng Anh), vi phạm tiêu chí ngôn ngữ IC1."
OA030,Evaluating LLM-Based Test Generation Under Software Evolution,"Sabaat Haroon, Mohammad Taha Khan, Muhammad Ali Gulzar",2026,arXiv (Cornell University),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2603.23443,https://www.semanticscholar.org/search?q=2603.23443,INCLUDE,Nghiên cứu kết hợp LLM sinh test case và mutation testing để cải thiện độ mạnh kiểm thử.
OA031,Boosting Test Generation in Industrial Codebases: A Comparative Study of Base and Fine-Tuned LLMs,"Azeem Ahmad, Muhammad Rashid Naeem",2026,IEEE Access,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.1109/access.2026.3690571,https://doi.org/10.1109/access.2026.3690571,INCLUDE,Đánh giá khả năng sinh testcase của LLM hướng tới tối ưu hóa độ bao phủ (coverage).
OA032,Fixturize: Bridging the Fixture Gap in Test Generation,"Wang, Chengyi, Xue, Pengyu, Zhen Yang, Xiapu Luo, Yuxuan Zhang, Xiran Lyu, Yifei Pei, Zonghan Jia, Yichen Sun, Lilin Wu, Kunwu Zheng",2026,arXiv (Cornell University),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2601.06615,https://www.semanticscholar.org/search?q=2601.06615,INCLUDE,Đánh giá khả năng sinh testcase của LLM hướng tới tối ưu hóa độ bao phủ (coverage).
OA033,Evaluating the Effectiveness of LLM-Generated Unit Tests in the Context of Industrial DBMS,Vekilmuhammet Bekmyradov,2026,Cologne Open Science (TH Köln),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.57684/cos-1441,https://www.semanticscholar.org/search?q=Bekmyradov+LLM+unit+tests+industrial+DBMS,EXCLUDE,"EC6 - Nghiên cứu đánh giá trên ngôn ngữ C/C++ hoặc C#, vi phạm đối tượng kiểm thử Java/Python của IC6."
OA034,Test vs Mutant: Adversarial LLM Agents for Robust Unit Test Generation,"Pengyu Chang, Yixiong Fang, SILIN CHEN, Yanan Shi, Beijun Shen, Xiaodong Gu",2026,Open MIND,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2602.08146,https://www.semanticscholar.org/paper/Test-vs-Mutant%3A-Adversarial-LLM-Agents-for-Robust-Chang-Fang/5842886f4a8d052a65d56411516e812d36d4004e,INCLUDE,Nghiên cứu kết hợp LLM sinh test case và mutation testing để cải thiện độ mạnh kiểm thử.
OA035,Enhancing Large Language Models for Text-to-Testcase Generation,"Saranya Alagarsamy, Chakkrit Tantithamthavorn, Takerngsaksiri, Wannita, Chetan Arora, Aldeida Aleti",2024,arXiv (Cornell University),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2402.11910,https://doi.org/10.1016/j.jss.2025.112531,INCLUDE,Đánh giá khả năng sinh testcase của LLM hướng tới tối ưu hóa độ bao phủ (coverage).
OA036,PRIMG : Efficient LLM-driven Test Generation Using Mutant Prioritization,"Mohamed Salah Bouafif, Mohammad Hamdaqa, Edward Zulkoski",2025,ArXiv.org,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2505.05584,https://doi.org/10.1145/3756681.3756991,EXCLUDE,"EC6 - Kiểm thử Smart Contract hoặc Solidity trên blockchain, không thuộc phạm vi unit testing thông thường của Java/Python (IC6)."
OA037,LLM-Based Test Case Generation in DBMS through Monte Carlo Tree Search,"Chen, Yujia, Zhou, Yingli, Zhang, Fangyuan, Gao, Cuiyun",2026,arXiv (Cornell University),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2603.21530,https://www.semanticscholar.org/search?q=2603.21530,EXCLUDE,"EC4 - Tập trung vào sinh seed cho fuzzing, không phải sinh unit test truyền thống."
OA038,A Logic-Guided and Explainable Approach to LLM-Based Unit Test Generation,"Cong Zeng, Meng Li, Liu Fei, Xia Yang, Jie Liu, Shiyu Yan",2026,Applied Sciences,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.3390/app16052542,https://www.mdpi.com/2076-3417/16/5/2542,INCLUDE,Đánh giá khả năng sinh testcase của LLM hướng tới tối ưu hóa độ bao phủ (coverage).
OA039,CodeAssert: Multi-Provider LLM Evaluation for Automated Unit Test Generation,JORGE ANDRÉ DE OLIVEIRA GONÇALVES,2025,"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)",OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),N/A,https://www.semanticscholar.org/search?q=CodeAssert+multi-provider+LLM+unit+test+Gon%C3%A7alves,INCLUDE,Nghiên cứu kết hợp LLM sinh test case và mutation testing để cải thiện độ mạnh kiểm thử.
OA040,IGTG&amp;R: An Intent Analysis-Guided Unit Test Generation and Refinement Framework,"Xiaojian Liu, Yangyang Zhang",2026,Entropy,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.3390/e28010074,https://www.mdpi.com/1099-4300/28/1/74,INCLUDE,Đánh giá khả năng sinh testcase của LLM hướng tới tối ưu hóa độ bao phủ (coverage).
OA041,SGTest: A Semantics-Guided Framework for LLM-Driven Unit Test Generation,"Chendong Lin, Leyi Cheng, Jiayi Wu, Xiaofang Zhang",2025,Proceedings/Proceedings of the ... International Conference on Software Engineering and Knowledge Engineering,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.18293/seke2025-043,https://dblp.org/rec/conf/seke/LinCWZ25,INCLUDE,Đánh giá khả năng sinh testcase của LLM hướng tới tối ưu hóa độ bao phủ (coverage).
OA042,LLM-based Mockless Unit Test Generation for Java,"Qinghua Xu, Guancheng Wang, Lionel Briand, Zhaoqiang Guo, Kui Liu",2026,arXiv (Cornell University),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2605.26851,https://www.semanticscholar.org/search?q=2605.26851,INCLUDE,Nghiên cứu kết hợp LLM sinh test case và mutation testing để cải thiện độ mạnh kiểm thử.
OA043,Génération de tests unitaires dans les systèmes orientés objet à l’aide des grands modèles de langage,"Diop, Aminata",2025,Le dépôt institutionnel (Université du Québec à Trois-Rivières),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),N/A,https://depot-e.uqtr.ca/id/eprint/12445/1/eprint12445.pdf,EXCLUDE,"EC6 - Bài báo viết bằng tiếng Pháp (không phải tiếng Anh), vi phạm tiêu chí ngôn ngữ IC1."
OA044,FeedbackLLM: Metadata driven Multi-Agentic Language Agnostic Test Case Generator with Evolving prompt and Coverage Feedback,"Kushal Jasti, Tejamani Prashanth Sahu, Rishitha Pentyala, Muvvala Mohit, Vivek Yelleti",2026,arXiv (Cornell University),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2605.01264,https://www.semanticscholar.org/search?q=2605.01264,INCLUDE,Đánh giá khả năng sinh testcase của LLM hướng tới tối ưu hóa độ bao phủ (coverage).
