id,title,authors,year,venue,database,search_string,doi,url,abstract,notes
IEEE015,Leveraging Long Method Decomposition to Improve Large Language Model-Based Test Case Generation,"Rongzhi Qi, Zhiyu Shen, Yadi Li",2025,"2025 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",IEEE Xplore,String A - simplified,10.1109/smc58881.2025.11343523,https://doi.org/10.1109/smc58881.2025.11343523,,full text not checked
IEEE016,Large Language Model-Enhanced Test Case Generation*,"Qi Zhang, Rui Kang, Yitian Liu, Xiayu Cao",2025,"2025 4th International Conference on Cloud Computing, Big Data Application and Software Engineering (CBASE)",IEEE Xplore,String A - simplified,10.1109/cbase67452.2025.11335495,https://doi.org/10.1109/cbase67452.2025.11335495,,full text not checked
IEEE017,Unit Test Generation Multi-Agent AI System for Enhancing Software Documentation and Code Coverage,"Dimitrije Stojanović, Bogdan Pavković, Nenad Četić, Momčilo Krunić, Luka Vidaković",2024,2024 32nd Telecommunications Forum (TELFOR),IEEE Xplore,String A - simplified,10.1109/telfor63250.2024.10819096,https://doi.org/10.1109/telfor63250.2024.10819096,,full text not checked
IEEE018,AI-Driven Test Case Generation Based on DeepSeek-Chat Large-Language Model,"Na Li, Yimei Xu, Jiafan Luo, Jiaxin Fang",2025,2025 5th International Symposium on Computer Technology and Information Science (ISCTIS),IEEE Xplore,String A - simplified,10.1109/isctis65944.2025.11065082,https://doi.org/10.1109/isctis65944.2025.11065082,,full text not checked
IEEE019,Automated Structural Test Case Generation for Human-Computer Interaction Software Based on Large Language Model,"Long Kang, Jun Ai, Minyan Lu",2024,2024 11th International Conference on Dependable Systems and Their Applications (DSA),IEEE Xplore,String A - simplified,10.1109/dsa63982.2024.00027,https://doi.org/10.1109/dsa63982.2024.00027,,full text not checked
IEEE020,Test Data Generation for Dynamic Unit Test in Java Language using Genetic Algorithm,"Zhela Jalal Rashid, M. Fatih Adak",2021,2021 6th International Conference on Computer Science and Engineering (UBMK),IEEE Xplore,String A - simplified,10.1109/ubmk52708.2021.9558953,https://doi.org/10.1109/ubmk52708.2021.9558953,,full text not checked
IEEE021,Enhancing web UX Test Coverage Through Model-Based Practices: State Machine Driven Test Auto-Generation,Damodaran Chingleput Sathyakumar,2024,2024 IEEE 2nd International Conference on Sensors, Electronics and Computer Engineering (ICSECE),IEEE Xplore,String A - simplified,10.1109/icsece61636.2024.10729496,https://doi.org/10.1109/icsece61636.2024.10729496,,full text not checked
IEEE022,LLM-SRAF: Sub-Resolution Assist Feature Generation Using Large Language Model,"Tianyi Li, Zhexin Tang, Tao Wu, Bei Yu, Jingyi Yu, Hao Geng",2025,2025 Design, Automation &amp; Test in Europe Conference (DATE),IEEE Xplore,String A - simplified,10.23919/date64628.2025.10993108,https://doi.org/10.23919/date64628.2025.10993108,,full text not checked
IEEE023,Large Language Model with Federated Retrieval-Augmented Generation for Improved Knowledge Retrieval,"Xueqin Hou, Xijin Wang",,,IEEE Xplore,String A - simplified,10.36227/techrxiv.171837853.31531482/v1,https://doi.org/10.36227/techrxiv.171837853.31531482/v1,"Natural language processing models have shown lots  of advancements in generating coherent and contextually relevant  responses, yet they often struggle with retrieving precise and upto-date information due to the static nature of their training  data. Introducing Federated Retrieval-Augmented Generation  (RAG) represents a novel and significant approach by integrating  federated learning with dynamic retrieval mechanisms to enhance information retrieval and response generation. This article  presents the implementation of Federated RAG on Mistral 8x7b,  an open-source large language model, demonstrating substantial  improvements in retrieval quality and response accuracy. The  federated learning framework facilitated distributed training  across multiple nodes, ensuring data privacy while enabling the  model to leverage diverse information sources. Comprehensive  evaluation on the MMLU benchmark revealed that the Federated RAG model consistently outperformed the baseline RAG  model, achieving higher accuracy and relevance in the generated  responses. Detailed analysis and optimization of the retrieval  mechanisms and training processes contributed to the model’s  enhanced performance, highlighting the potential of Federated  RAG as a scalable solution for knowledge-intensive applications.",full text not checked
IEEE024,Code Generation from Flowchart using Optical Character Recognition &amp; Large Language Model,"Aryaman Darda, Reetu Jain",,,IEEE Xplore,String A - simplified,10.36227/techrxiv.171392799.96378624/v1,https://doi.org/10.36227/techrxiv.171392799.96378624/v1,"Students  find it difficult to learn the syntax of programming languages when they are  new to coding. Some students get discouraged and even quit their coding journey  because of having trouble with memorizing all the syntactic rules of a  programming language. Flowcharts are an effective way to help students  visualize the logic of an algorithm developed to solve a problem. But some  students find it challenging to convert their flowcharts into executable code  and even when they do, some get frustrated because of the errors they encounter  while running the code they have written. So students who are not well versed  with the syntax of a programming language can face difficulty debugging their  programs even when they understand the logic behind the algorithms. This  research aimed at developing a tool that can assist young students with less  coding experience to learn programming. An intuitive user interface for the  application was developed using a python library called gradio. The  functionality of taking flowchart images as user inputs and providing  equivalent python code with a brief explanation was incorporated on the UI.  Text from the uploaded flowchart image is extracted in 3 steps which include  feature extraction using deep learning models like ResNet and VGG, sequence  labelling using Long Short-Term Memory networks and decoding the sequence  labels using Connectionist Temporal Classification algorithms. The extracted  text is then provided to an open source large language model with 70 billion  parameters called Llama-2-Chat for the generation of the python code. The  generated python code is displayed on the gradio UI along with a brief  explanation of the code. The user can copy the code and run it on the IDE of  their choice. The application was evaluated with a test dataset of several  flowchart images. The generated python codes for the test flowchart images were  executed in a code editor and the produced outputs were found to be correct.  The generated code got executed without any errors for 75 % of the flowchart  images from the test dataset.",full text not checked
IEEE025,Leveraging Large Language Models for Python Unit Test,"Medlen Jiri, Bari Emese, Patrick Medlen",2024,2024 IEEE International Conference on Artificial Intelligence Testing (AITest),IEEE Xplore,String A - simplified,10.1109/aitest62860.2024.00020,https://doi.org/10.1109/aitest62860.2024.00020,,full text not checked
