id,title,authors,year,venue,database,search_string,doi,url,source,type,openalex_id,v1_decision,v1_reason,reviewer,v2_decision,v2_reason
GS013,On the Evaluation of Large Language Models in Unit Test Generation,"L Yang, C Yang, S Gao, W Wang, B Wang…",2024,Proceedings of the 39th …,Google Scholar,String A,10.1145/3691620.3695529,https://dl.acm.org/doi/abs/10.1145/3691620.3695529,dl.acm.org,ARTICLE,https://openalex.org/W4403536268,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS014,Enhancing Unit Tests using ChatGPT-3.5,S Creasta,2024,,Google Scholar,String A,,https://repository.tudelft.nl/file/File_34529e7c-0262-464a-9d32-96c3a2a17e7c,repository.tudelft.nl,PDF,,UNSURE,"IC3/IC4 likely satisfied, but IC5 metric/evaluation evidence is not explicit in title metadata; keep for full-text check.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS015,evoLLve'M: Improving JUnit Test Assertions and Mutation Score Using ChatGPT-4o and EvoSuite,A Turhan,2024,,Google Scholar,String A,,https://repository.tudelft.nl/file/File_e03e250e-b21e-4a1c-abbb-7662b6f4afd5,repository.tudelft.nl,PDF,,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS017,Benchmarking LLMs for Unit Test Generation from Real-World Functions,"D Huang, JM Zhang, M Harman, Q Zhang…",2026,ACM Transactions on …,Google Scholar,String A,10.1145/3805043,https://dl.acm.org/doi/abs/10.1145/3805043,dl.acm.org,ARTICLE,https://openalex.org/W7141844560,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,INCLUDE,Included after V2 because the paper is a primary LLM-based unit test generation/evaluation study and provides extractable numeric evidence for the evidence table.
GS018,Domain Adaptation for Code Model-Based Unit Test Case Generation,"J Shin, S Hashtroudi, H Hemmati, S Wang",2024,Proceedings of the 33rd …,Google Scholar,String A,10.1145/3650212.3680354,https://dl.acm.org/doi/abs/10.1145/3650212.3680354,dl.acm.org,ARTICLE,https://openalex.org/W4402457261,UNSURE,"Relevant to LLM-based unit testing, but V1 metadata is insufficient to confirm empirical metrics; keep for full-text check.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS019,An Empirical Evaluation of Using Large Language Models for Automated Unit Test Generation,"M Schäfer, S Nadi, A Eghbali…",2023,IEEE Transactions on …,Google Scholar,String A,10.1109/tse.2023.3334955,https://ieeexplore.ieee.org/abstract/document/10329992/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4389104713,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,INCLUDE,Included after V2 because the paper is a primary LLM-based unit test generation/evaluation study and provides extractable numeric evidence for the evidence table.
GS021,A Comparative Evaluation of Search-Based and Mutation-Driven LLM Test Generation : Pynguin and MuTAP,R Tabassum,2026,Doria (University of Helsinki),Google Scholar,String A,,https://www.doria.fi/handle/10024/194889,doria.fi,ARTICLE,https://openalex.org/W7162730844,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS022,Evaluating LLM-Generated Unit Tests with Mutation Testing: ChatGPT vs DeepSeek,"PFM Cabral, JPS Arruda, CRB de Souza…",2025,Simpósio Brasileiro de …,Google Scholar,String A,10.5753/sbqs.2025.13792,https://sol.sbc.org.br/index.php/sbqs/article/view/39001,sol.sbc.org.br,ARTICLE,https://openalex.org/W4417036936,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,INCLUDE,Included after V2 because the paper is a primary LLM-based unit test generation/evaluation study and provides extractable numeric evidence for the evidence table.
GS023,Automated test case generation using transformers and domain adaptation,SP Hashtroudi,2023,,Google Scholar,String A,,https://ucalgary.scholaris.ca/items/bb27e423-2b1a-41df-9f15-5fbaeae160d5,ucalgary.scholaris.ca,ARTICLE,,UNSURE,"Relevant to LLM-based unit testing, but V1 metadata is insufficient to confirm empirical metrics; keep for full-text check.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS024,Automatic Unit Test Generation for Programming Assignments Using Large Language Models,"K Zheng, Y Shen, Y Tao",2025,2025 IEEE/ACM 37th International …,Google Scholar,String A,10.1109/cseet66350.2025.00031,https://ieeexplore.ieee.org/abstract/document/11024401/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4411233861,UNSURE,"Relevant to LLM-based unit testing, but V1 metadata is insufficient to confirm empirical metrics; keep for full-text check.",Reviewer 1,INCLUDE,Included after V2 because the paper is a primary LLM-based unit test generation/evaluation study and provides extractable numeric evidence for the evidence table.
GS025,A Python Unit Test Generation Method Based on Fine-Tuned Language Models and Coverage,"J Long, R Qin, Z Jiang, J Duan, S Li…",2025,2025 18th International …,Google Scholar,String A,10.1109/cisp-bmei68103.2025.11259411,https://ieeexplore.ieee.org/abstract/document/11259411/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4416963150,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,INCLUDE,Included after V2 because the paper is a primary LLM-based unit test generation/evaluation study and provides extractable numeric evidence for the evidence table.
GS026,Exploring ChatGPT Efficiency in Automatic Test Generation for Python: A Comparative Analysis,"LR Guerino, AMR Vincenzi",2025,Simpósio Brasileiro de Qualidade de …,Google Scholar,String A,10.5753/sbqs.2025.14558,https://sol.sbc.org.br/index.php/sbqs/article/view/38998,sol.sbc.org.br,ARTICLE,https://openalex.org/W4417036944,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,INCLUDE,Included after V2 because the paper is a primary LLM-based unit test generation/evaluation study and provides extractable numeric evidence for the evidence table.
GS028,ChatGPT vs SBST: A Comparative Assessment of Unit Test Suite Generation,"Y Tang, Z Liu, Z Zhou, X Luo",2024,IEEE Transactions on Software …,Google Scholar,String A,10.1109/tse.2024.3382365,https://ieeexplore.ieee.org/abstract/document/10485640/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4393305539,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,INCLUDE,Included after V2 because the paper is a primary LLM-based unit test generation/evaluation study and provides extractable numeric evidence for the evidence table.
GS029,Java unit testing with ai: An ai-driven prototype for unit test generation,"K Kahur, J Su",2023,,Google Scholar,String A,,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1778114,diva-portal.org,ARTICLE,,UNSURE,"IC3/IC4 likely satisfied, but IC5 metric/evaluation evidence is not explicit in title metadata; keep for full-text check.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS030,On the Evaluation of Test Suites Generated by Large Language Models,"M Cuze, F Wotawa",2025,IFIP International Conference on Testing Software …,Google Scholar,String A,10.1007/978-3-032-05188-2_16,https://link.springer.com/chapter/10.1007/978-3-032-05188-2_16,Springer,ARTICLE,https://openalex.org/W4414193595,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS031,CodeAssert: Multi-Provider LLM Evaluation for Automated Unit Test Generation,JADEO GONÇALVES,2025,"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)",Google Scholar,String A,,https://recipp.ipp.pt/entities/publication/781bf760-b7a2-40e3-bead-046367e036c5,recipp.ipp.pt,ARTICLE,https://openalex.org/W7117346372,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS032,An empirical study of using large language models for unit test generation,"ML Siddiqa, JC Santos, RH Tanvirb, N Ulfatc…",2023,arXiv preprint arXiv …,Google Scholar,String A,,https://www.academia.edu/download/108971486/2305.00418.pdf,academia.edu,PDF,,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS034,No More Manual Tests? Evaluating and Improving ChatGPT for Unit Test Generation,"Z Yuan, Y Lou, M Liu, S Ding, K Wang, Y Chen…",2023,arXiv preprint arXiv …,Google Scholar,String A,10.48550/arxiv.2305.04207,https://arxiv.org/abs/2305.04207,arxiv.org,ARTICLE,https://openalex.org/W4376122390,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS035,TestLoter: A logic-driven framework for automated unit test generation and error repair using large language models,"R Yang, X Xu, R Wang",2025,Journal of Computer Languages,Google Scholar,String A,10.1016/j.cola.2025.101348,https://www.sciencedirect.com/science/article/pii/S2590118425000346,Elsevier,ARTICLE,https://openalex.org/W4412602987,UNSURE,"IC3/IC4 likely satisfied, but IC5 metric/evaluation evidence is not explicit in title metadata; keep for full-text check.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS036,"Test Wars: A Comparative Study of SBST, Symbolic Execution, and LLM-Based Approaches to Unit Test Generation","A Abdullin, P Derakhshanfar…",2025,2025 IEEE Conference …,Google Scholar,String A,10.1109/icst62969.2025.10989033,https://ieeexplore.ieee.org/abstract/document/10989033/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4410538575,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS037,Test vs Mutant: Adversarial LLM Agents for Robust Unit Test Generation,"P Chang, Y Fang, S Chen, Y Shi, B Shen…",2026,arXiv preprint arXiv …,Google Scholar,String A,,https://arxiv.org/abs/2602.08146,arxiv.org,ARTICLE,https://openalex.org/W7128648060,UNSURE,"Relevant to LLM-based unit testing, but V1 metadata is insufficient to confirm empirical metrics; keep for full-text check.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS038,From Scenario to Code: Structured Prompting for LLM-Based Unit Test Generation,"A Diop, F Toure, M Badri",2025,Proceedings of the 2025 7th World …,Google Scholar,String A,10.1145/3779657.3779658,https://dl.acm.org/doi/abs/10.1145/3779657.3779658,dl.acm.org,ARTICLE,https://openalex.org/W7153576139,UNSURE,"Relevant to LLM-based unit testing, but V1 metadata is insufficient to confirm empirical metrics; keep for full-text check.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS039,Leveraging Large Language Models for Enhancing the Understandability of Generated Unit Tests,"A Deljouyi, R Koohestani, M Izadi…",2025,2025 IEEE/ACM 47th …,Google Scholar,String A,10.1109/icse55347.2025.00032,https://ieeexplore.ieee.org/abstract/document/11029767/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4411552295,UNSURE,"IC3/IC4 likely satisfied, but IC5 metric/evaluation evidence is not explicit in title metadata; keep for full-text check.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS040,LLM-enhanced evolutionary test generation for untyped languages,"R Yang, X Xu, R Wang",2025,Automated Software Engineering,Google Scholar,String A,10.1007/s10515-025-00496-7,https://link.springer.com/article/10.1007/s10515-025-00496-7,Springer,ARTICLE,https://openalex.org/W4407667911,UNSURE,"Relevant to LLM-based unit testing, but V1 metadata is insufficient to confirm empirical metrics; keep for full-text check.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS041,LLMs as Test Generators: A Comparative Benchmarking Study,"ECO Silva, R de Souza Coelho…",2025,Simpósio Brasileiro de …,Google Scholar,String A,10.5753/sbes.2025.9618,https://sol.sbc.org.br/index.php/sbes/article/view/36983,sol.sbc.org.br,ARTICLE,https://openalex.org/W4414995150,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS042,AI-Assisted Unit Testing: Empirical Insights into GitHub Copilot Chat's Effectiveness and Collaborative Benefits,E Sundqvist,2024,,Google Scholar,String A,,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1866649,diva-portal.org,ARTICLE,,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS043,Towards Automated Software Testing - Applying TextGrad to Test Suite Generation using LLMs,M Gärtner,2025,sosy-lab.org,Google Scholar,String A,10.5281/zenodo.18394393,https://www.sosy-lab.org/research/msc/2025.Gaertner.Towards_Automated_Software_Testing.pdf,,PDF,https://openalex.org/W7125805399,UNSURE,"Relevant to LLM-based unit testing, but V1 metadata is insufficient to confirm empirical metrics; keep for full-text check.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS044,GEM: A Framework for Strengthening LLM-Generated Unit Tests Using Mutation Feedback,"A Celik, QH Mahmoud",2026,… Ibero-Americano em Engenharia de Software …,Google Scholar,String A,10.5753/cibse.2026.42441,https://sol.sbc.org.br/index.php/cibse/article/view/42441,sol.sbc.org.br,ARTICLE,https://openalex.org/W7162811052,UNSURE,"IC3/IC4 likely satisfied, but IC5 metric/evaluation evidence is not explicit in title metadata; keep for full-text check.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS045,Automated Unit Test Generation via Metaprogramming: A Deterministic Alternative to AI-Based Test Synthesis,N Bhatt,2025,"… on Information, Implementation, and Innovation in …",Google Scholar,String A,10.1109/i2itcon65200.2025.11208854,https://ieeexplore.ieee.org/abstract/document/11208854/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4415883519,UNSURE,IC3/IC4 possible: unit-test generation title uses AI/prompt terminology but does not explicitly name LLM; verify technique in full text.,Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS046,AI-assisted Generation Of Human-Aligned Unit Tests,WAMC OUEDRAOGO,2026,Open Repository and Bibliography (University of Luxembourg),Google Scholar,String A,,https://orbilu.uni.lu/handle/10993/68463,orbilu.uni.lu,ARTICLE,https://openalex.org/W7162618522,UNSURE,"Relevant to LLM-based unit testing, but V1 metadata is insufficient to confirm empirical metrics; keep for full-text check.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS047,"Large-scale, Independent and Comprehensive study of the power of LLMs for test case generation","WC Ouédraogo, K Kaboré, Y Li, H Tian…",2024,arXiv preprint arXiv …,Google Scholar,String A,10.48550/arxiv.2407.00225,https://arxiv.org/abs/2407.00225,arxiv.org,ARTICLE,https://openalex.org/W4400267179,UNSURE,"IC3/IC4 likely satisfied, but IC5 metric/evaluation evidence is not explicit in title metadata; keep for full-text check.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS048,An Evaluation Framework for Software Unit Tests Generated by Large Language Models,"ST Nguyen, S Bharath…",2025,2025 IEEE 36th …,Google Scholar,String A,,https://ieeexplore.ieee.org/abstract/document/11262355/,ieeexplore.ieee.org,ARTICLE,,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS049,FailMapper: Automated Generation of Unit Tests Guided by Failure Scenarios,"R Dong, Z Deng, X Zhu, X Du, H Liu…",2025,2025 40th IEEE/ACM …,Google Scholar,String A,10.1109/ase63991.2025.00197,https://ieeexplore.ieee.org/abstract/document/11334488/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W7125922978,UNSURE,IC3/IC4 possible: unit-test generation title uses AI/prompt terminology but does not explicitly name LLM; verify technique in full text.,Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS051,"AI-Powered Unit Test Generation via Multi-LLM Chaining: A Case Study With GPT-4o, Gemini, and Claude-3.5","C Kumar, US Ponaka, PVLN Naidu…",2025,IEEE …,Google Scholar,String A,10.1109/access.2025.3637221,https://ieeexplore.ieee.org/abstract/document/11269709/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4416707315,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,INCLUDE,Included after V2 because the paper is a primary LLM-based unit test generation/evaluation study and provides extractable numeric evidence for the evidence table.
GS052,Automated Unit Test Generation via Chain-of-Thought Prompt and Reinforcement Learning from Coverage Feedback,"J Zhang, X Hu, X Xia, SC Cheung, S Li",2026,ACM Transactions on Software …,Google Scholar,String A,10.1145/3745765,https://dl.acm.org/doi/abs/10.1145/3745765,dl.acm.org,ARTICLE,https://openalex.org/W7128276797,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation with coverage/mutation/compile/pass-rate evidence to verify in full text.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS053,"A Cascaded Pipeline for Self-Directed, Model-Agnostic Unit Test Generation via LLMs","C Ni, X Wang, X Yin, L Chen…",2025,2025 IEEE 36th …,Google Scholar,String A,10.1109/issre66568.2025.00037,https://ieeexplore.ieee.org/abstract/document/11229491/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W4416233741,UNSURE,"Relevant to LLM-based unit testing, but V1 metadata is insufficient to confirm empirical metrics; keep for full-text check.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS054,Unit Test Generation using Large Language Models for Unity Game Development,"C Paduraru, A Stefanescu, A Jianu",2024,Proceedings of the 1st ACM …,Google Scholar,String A,10.1145/3663532.3664466,https://dl.acm.org/doi/abs/10.1145/3663532.3664466,dl.acm.org,ARTICLE,https://openalex.org/W4400485000,UNSURE,"Relevant to LLM-based unit testing, but V1 metadata is insufficient to confirm empirical metrics; keep for full-text check.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS055,Parameter-Efficient Fine-Tuning of Large Language Models for Unit Test Generation: An Empirical Study,"A Storhaug, J Li",2024,arXiv preprint arXiv:2411.02462,Google Scholar,String A,10.48550/arxiv.2411.02462,https://arxiv.org/abs/2411.02462,arxiv.org,ARTICLE,https://openalex.org/W4404355680,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS056,TESTEVAL: Benchmarking Large Language Models for Test Case Generation,"W Wang, C Yang, Z Wang, Y Huang…",2025,Findings of the …,Google Scholar,String A,10.18653/v1/2025.findings-naacl.197,https://aclanthology.org/2025.findings-naacl.197/,aclanthology.org,ARTICLE,https://openalex.org/W4411113098,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS058,TestART: Improving LLM-based Unit Testing via Co-evolution of Automated Generation and Repair Iteration,"S Gu, Q Zhang, K Li, C Fang, F Tian, L Zhu…",2024,arXiv preprint arXiv …,Google Scholar,String A,10.48550/arxiv.2408.03095,https://arxiv.org/abs/2408.03095,arxiv.org,ARTICLE,https://openalex.org/W4403622802,UNSURE,"IC3/IC4 likely satisfied, but IC5 metric/evaluation evidence is not explicit in title metadata; keep for full-text check.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
